rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,BELFAST CITY (GEORGE BEST),2348,2348,0,1553,1553,0,51.19124
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,BIRMINGHAM,5516,5516,0,1846,1846,0,198.80823
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,BRISTOL,1638,1638,0,5286,5286,0,-69.01249
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,EXETER,688,688,0,762,762,0,-9.71129
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,GLASGOW,3,3,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,HUMBERSIDE,899,899,0,1232,1232,0,-27.02922
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,JERSEY,0,0,0,857,857,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,KIRKWALL,4102,4102,0,3108,3108,0,31.98198
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,MANCHESTER,9341,9341,0,4381,4381,0,113.21616
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,NEWCASTLE,764,764,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,NEWQUAY,2667,2667,0,1797,1797,0,48.41402
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,NORWICH,2824,2635,189,1292,1292,0,118.57585
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,SOUTHAMPTON,173,173,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,SUMBURGH,9354,6087,3267,7741,4730,3011,20.8371
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,TEESSIDE INTERNATIONAL AIRPORT,2016,2016,0,841,841,0,139.71463
21/10/2022 12:39,202208,202108,Other Reporting Airports,ABERDEEN,WICK JOHN O GROATS,792,792,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,ALDERNEY,GUERNSEY,3434,3434,0,3935,3935,0,-12.73189
21/10/2022 12:39,202208,202108,Other Reporting Airports,ALDERNEY,SOUTHAMPTON,2090,2090,0,1832,1832,0,14.08297
21/10/2022 12:39,202208,202108,Other Reporting Airports,BARRA,GLASGOW,1493,1493,0,1518,1518,0,-1.6469
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BIRMINGHAM,18021,18021,0,5445,5445,0,230.96419
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARDIFF WALES,2406,2406,0,742,742,0,224.25876
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),DUNDEE,677,677,0,910,910,0,-25.6044
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,3720,3720,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EDINBURGH,9843,9843,0,4197,4197,0,134.52466
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EXETER,2689,2689,0,2496,2496,0,7.73237
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),FARNBOROUGH,0,0,0,62,0,62,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GLASGOW,9701,9701,0,2437,2437,0,298.0714
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),INVERNESS,2140,2140,0,1304,1304,0,64.11043
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,12790,12790,0,3991,3991,0,220.47106
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),7028,7028,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),MANCHESTER,12591,12591,0,5731,5731,0,119.69988
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWQUAY,0,0,0,873,873,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),SOUTHAMPTON,9395,9395,0,2772,2772,0,238.92496
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST CITY (GEORGE BEST),TEESSIDE INTERNATIONAL AIRPORT,878,878,0,1182,1182,0,-25.71912
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,BIRMINGHAM,28842,28842,0,31046,31029,17,-7.09914
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,BOURNEMOUTH,0,0,0,2204,2204,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,BRISTOL,25377,25377,0,25218,25218,0,0.6305
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,EAST MIDLANDS INTERNATIONAL,182,0,182,5003,5003,0,-96.36218
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,EDINBURGH,29255,29255,0,26175,26175,0,11.76695
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,GLASGOW,26808,26808,0,21218,21218,0,26.34556
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,INVERNESS,0,0,0,1597,1597,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,ISLE OF MAN,2364,2364,0,1749,1749,0,35.16295
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,JERSEY,4007,4007,0,3676,3676,0,9.00435
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,LEEDS BRADFORD,3359,3344,15,4996,4996,0,-32.76621
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),34412,34412,0,38374,38374,0,-10.3247
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,MANCHESTER,33112,33112,0,38276,38276,0,-13.49148
21/10/2022 12:39,202208,202108,Other Reporting Airports,BELFAST INTERNATIONAL,NEWCASTLE,19204,19204,0,13674,13674,0,40.44171
21/10/2022 12:39,202208,202108,Other Reporting Airports,BENBECULA,GLASGOW,2357,2357,0,1969,1969,0,19.70543
21/10/2022 12:39,202208,202108,Other Reporting Airports,BENBECULA,INVERNESS,345,345,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,BENBECULA,STORNOWAY,113,113,0,440,440,0,-74.31818
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIGGIN HILL,GLASGOW,0,0,0,34,0,34,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIGGIN HILL,NEWCASTLE,0,0,0,9,0,9,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,EAST MIDLANDS INTERNATIONAL,0,0,0,144,144,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,EDINBURGH,18895,18895,0,12470,12470,0,51.52366
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,GLASGOW,19072,19072,0,6251,6251,0,205.10318
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,GUERNSEY,3533,3533,0,1818,1818,0,94.33443
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,INVERNESS,2200,2200,0,1813,1813,0,21.34584
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,ISLE OF MAN,2452,2452,0,1510,1510,0,62.38411
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,JERSEY,5615,5615,0,5274,5274,0,6.46568
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,MANCHESTER,0,0,0,53,53,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,NEWCASTLE,0,0,0,53,53,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,NEWQUAY,0,0,0,1035,1035,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BIRMINGHAM,SOUTHAMPTON,20,20,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,BLACKPOOL,CARDIFF WALES,0,0,0,68,0,68,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BOURNEMOUTH,EAST MIDLANDS INTERNATIONAL,0,0,0,80,80,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BOURNEMOUTH,EDINBURGH,0,0,0,2707,2707,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BOURNEMOUTH,HUMBERSIDE,0,0,0,86,86,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BOURNEMOUTH,LIVERPOOL (JOHN LENNON),94,0,94,889,889,0,-89.42632
21/10/2022 12:39,202208,202108,Other Reporting Airports,BOURNEMOUTH,MANCHESTER,90,0,90,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,EDINBURGH,25411,25411,0,24092,24092,0,5.47485
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,GLASGOW,30290,30290,0,19894,19894,0,52.25696
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,GUERNSEY,3336,3336,0,1603,1603,0,108.10979
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,INVERNESS,6531,6531,0,8059,8059,0,-18.96017
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,ISLE OF MAN,3857,3857,0,1872,1872,0,106.03632
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,JERSEY,4676,4676,0,5815,5815,0,-19.58727
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,MANCHESTER,2,2,0,2,2,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,NEWCASTLE,10473,10364,109,8495,8495,0,23.28428
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRISTOL,TEESSIDE INTERNATIONAL AIRPORT,0,0,0,543,464,79,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,BRIZE NORTON,MANCHESTER,45,0,45,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,CAMBRIDGE,MANCHESTER,25,25,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,CAMPBELTOWN,GLASGOW,822,822,0,497,497,0,65.39235
21/10/2022 12:39,202208,202108,Other Reporting Airports,CAMPBELTOWN,ISLAY,0,0,0,11,11,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,CARDIFF WALES,DONCASTER SHEFFIELD,0,0,0,68,0,68,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,CARDIFF WALES,EDINBURGH,2252,2252,0,1248,1248,0,80.44872
21/10/2022 12:39,202208,202108,Other Reporting Airports,CARDIFF WALES,LIVERPOOL (JOHN LENNON),69,0,69,56,0,56,23.21429
21/10/2022 12:39,202208,202108,Other Reporting Airports,CARDIFF WALES,MANCHESTER,0,0,0,67,0,67,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,CITY OF DERRY (EGLINTON),EDINBURGH,1185,1185,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,CITY OF DERRY (EGLINTON),GLASGOW,1269,1269,0,1824,1824,0,-30.42763
21/10/2022 12:39,202208,202108,Other Reporting Airports,CITY OF DERRY (EGLINTON),LIVERPOOL (JOHN LENNON),2300,2300,0,3293,3293,0,-30.15487
21/10/2022 12:39,202208,202108,Other Reporting Airports,CITY OF DERRY (EGLINTON),MANCHESTER,6180,6180,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,COLL,TIREE,34,34,0,16,16,0,112.5
21/10/2022 12:39,202208,202108,Other Reporting Airports,COLONSAY,ISLAY,13,13,0,13,13,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,DUNDEE,MANCHESTER,0,0,0,121,0,121,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,DUNDEE,SUMBURGH,247,247,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,GLASGOW,0,0,0,110,110,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,GUERNSEY,2261,2261,0,1630,1630,0,38.71166
21/10/2022 12:39,202208,202108,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,JERSEY,4318,4318,0,2679,2679,0,61.17954
21/10/2022 12:39,202208,202108,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,LEEDS BRADFORD,0,0,0,228,228,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,MANCHESTER,0,0,0,279,279,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,NEWCASTLE,0,0,0,115,0,115,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDAY,KIRKWALL,6,6,0,14,14,0,-57.14286
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,EXETER,2600,2600,0,2103,2103,0,23.63291
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,GLASGOW,0,0,0,160,160,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,GUERNSEY,582,582,0,1365,1365,0,-57.36264
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,ISLE OF MAN,1009,1009,0,540,540,0,86.85185
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,JERSEY,404,404,0,2088,2088,0,-80.65134
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,KIRKWALL,3828,3828,0,2175,2175,0,76
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,MANCHESTER,131,131,0,0,0,0,0
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,NEWCASTLE,0,0,0,8,8,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,NEWQUAY,2063,2063,0,1479,1479,0,39.48614
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,NORWICH,0,0,0,313,313,0,-100
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,SOUTHAMPTON,8248,8248,0,5504,5504,0,49.85465
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,STORNOWAY,1745,1745,0,1181,1181,0,47.75614
21/10/2022 12:39,202208,202108,Other Reporting Airports,EDINBURGH,SUMBURGH,3850,3565,285,2976,2638,338,29.36828
21/10/2022 12:39,202208,202108,Other Reporting Airports,EXETER,GLASGOW,1689,1689,0,1389,1389,0,21.59827
21/10/2022 12:39,202208,202108,Other Reporting Airports,EXETER,GUERNSEY,2225,2225,0,1472,1472,0,51.15489
