Country Name,2015,2016,2017,2018,2019,2020,2021,GDPPC
Aruba,28399.05013,28453.71556,29348.41897,30253.71423,31135.88436,23384.29879,,23384.29879
Africa Eastern and Southern,1556.316469,1446.533624,1629.404273,1541.031661,1511.309259,1360.878645,1557.722682,1557.722682
Afghanistan,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499,516.7478708,,516.7478708
Africa Western and Central,1894.322115,1673.843681,1613.490478,1704.135698,1777.852822,1709.764129,1774.921218,1774.921218
Angola,3127.890598,1728.023754,2313.220584,2524.942483,2177.799015,1631.431691,2137.909393,2137.909393
Albania,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6494.385713,6494.385713
Andorra,35770.91865,37474.74584,38964.66201,41793.31884,40898.41791,37416.69772,43047.68627,43047.68627
Arab World,6359.900578,6177.227235,6272.949782,6635.381394,6562.969998,5724.28687,6412.38921,6412.38921
United Arab Emirates,38663.38826,38141.87689,40644.79119,43839.32449,42701.44305,36284.55524,,36284.55524
Argentina,13789.06042,12790.24247,14613.04182,11795.15939,10076.35524,8585.694742,10729.23258,10729.23258
Armenia,3607.289299,3591.828052,3914.527854,4220.540321,4604.646324,4266.018074,4670.008798,4670.008798
American Samoa,12059.63516,12038.2497,11003.82976,11521.60978,11715.36014,12844.90099,,12844.90099
Antigua and Barbuda,14285.32978,15198.74297,15383.5764,16679.59166,17376.64968,13992.74448,14900.7974,14900.7974
Australia,56707.02208,49881.76371,53934.25018,57180.7794,54875.28596,51680.31652,59934.12941,59934.12941
Austria,44195.81759,45307.58786,47429.15846,51486.5755,50114.40111,48588.65938,53267.93275,53267.93275
Azerbaijan,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5384.034998,5384.034998
Burundi,305.5111441,251.6514772,250.5146007,238.0343096,223.8628757,233.8375103,236.7954142,236.7954142
Belgium,41008.29672,42012.62272,44198.48239,47549.20805,46599.11134,45189.3669,51767.78857,51767.78857
Benin,1076.796698,1087.287331,1136.593872,1241.825298,1219.515506,1291.040972,1428.447177,1428.447177
Burkina Faso,653.3272681,688.2506963,734.996268,804.5005378,796.1152068,857.9327297,918.1525819,918.1525819
Bangladesh,1248.45331,1678.95323,1839.583378,1991.483267,2154.226819,2270.347535,2503.04388,2503.04388
Bulgaria,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533,10079.20338,11634.97102,11634.97102
Bahrain,22634.08565,22608.45256,23742.93734,24086.30169,23552.37995,20406.50233,22232.32523,22232.32523
"Bahamas, The",31699.35863,31314.84456,32371.00818,33077.39183,33872.33431,24665.09683,28239.36671,28239.36671
Bosnia and Herzegovina,4729.690054,4994.971623,5394.26914,6070.35298,6119.762351,6082.36673,6916.438315,6916.438315
Belarus,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6555.426818,7303.696266,7303.696266
Belize,4805.196852,4877.670506,4909.604664,4927.194224,4983.336114,3987.796596,4420.491372,4420.491372
Bermuda,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107706.0398,110869.4631,110869.4631
Bolivia,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,3137.989617,3414.892849,3414.892849
Brazil,8813.989806,8710.06329,9928.675897,9151.381732,8876.059836,6814.875632,7518.834284,7518.834284
Barbados,16558.86478,16909.88655,17404.20747,17782.87473,18480.05659,16318.74811,17033.93719,17033.93719
Brunei Darussalam,31164.03625,27158.40565,28571.60829,31628.47626,31085.96193,27442.95383,31722.66014,31722.66014
Bhutan,2752.630172,2930.574923,3286.596744,3243.477437,3322.863329,3000.777986,,3000.777986
Botswana,6402.910183,6982.917492,7296.092142,7503.878588,7247.429476,6348.832318,7347.552382,7347.552382
Central African Republic,377.4229177,402.1916451,450.900697,475.9538139,468.1175148,481.7462966,511.4847456,511.4847456
Canada,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387,52051.35146,52051.35146
Central Europe and the Baltics,12522.66106,12831.40994,14254.7381,16047.2797,16346.56181,16197.29935,18568.99338,18568.99338
Switzerland,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946,87100.41482,93457.4404,93457.4404
Channel Islands,,,,,,,,0
Chile,13495.01061,13690.90746,14962.55685,15772.33348,14699.46278,13220.57076,16502.83857,16502.83857
China,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,10408.66976,12556.33312,12556.33312
Cote d'Ivoire,1972.545683,2013.381448,2111.026557,2314.050958,2276.332394,2325.723705,2578.760412,2578.760412
Cameroon,1382.50979,1413.255957,1469.4475,1585.240534,1533.095688,1537.130218,1661.702105,1661.702105
"Congo, Dem. Rep.",497.3170391,471.3188225,467.0742317,565.8295429,596.5605701,543.9503925,584.1064092,584.1064092
"Congo, Rep.",2448.523778,2051.666176,2170.900563,2606.615526,2369.729441,1899.778237,2213.880863,2213.880863
Colombia,6175.87603,5870.777957,6376.706716,6729.583332,6418.615783,5312.198556,6131.225922,6131.225922
Comoros,1242.585608,1273.050952,1323.814843,1428.290463,1404.433187,1407.40927,1494.687693,1494.687693
Cabo Verde,3043.031382,3131.017598,3292.633503,3616.460666,3603.775241,3064.272388,3445.756536,3445.756536
Costa Rica,11642.77805,12011.22275,12225.57449,12485.4239,12762.13801,12201.92603,12508.61563,12508.61563
Caribbean small states,10181.80616,9557.667766,9915.744684,10250.29173,10406.67071,8857.870922,9352.282028,9352.282028
Cuba,7694.014637,8060.796598,8541.213686,8824.194008,9125.878679,9477.852873,,9477.852873
Curacao,19260.26985,18881.83062,18788.80728,18956.09791,19024.17723,16109.86167,,16109.86167
Cayman Islands,76284.1943,78471.62814,81513.16283,86180.53969,91513.04267,85346.76195,,85346.76195
Cyprus,23408.33594,24605.91992,26608.875,29334.11133,29206.07617,27681.56641,30798.47656,30798.47656
Czech Republic,17829.69832,18575.23203,20636.19995,23419.73561,23660.14881,22933.49959,26378.49996,26378.49996
Germany,41103.25644,42136.12079,44652.58917,47973.60762,46794.89929,46252.6893,50801.78671,50801.78671
Djibouti,2652.513228,2803.689125,2926.153304,3038.269738,3172.750685,3219.701128,3363.712048,3363.712048
Dominica,7597.288894,8080.968623,7298.51458,7745.376963,8516.280039,7003.859021,7559.975039,7559.975039
Denmark,53254.85637,54663.99837,57610.09818,61591.92887,59775.7351,61063.31643,67803.0471,67803.0471
Dominican Republic,6921.520594,7280.88361,7609.353275,8050.644076,8282.117131,7268.19691,8603.789905,8603.789905
Algeria,4177.889542,3946.452447,4109.698217,4142.018558,3989.668276,3306.858208,3765.034625,3765.034625
East Asia & Pacific (excluding high income),6511.258118,6600.764194,7159.45138,7954.762525,8177.838,8270.455138,9776.493809,9776.493809
Early-demographic dividend,3244.237034,3303.710575,3521.381645,3509.754222,3538.833413,3253.713456,3739.95779,3739.95779
East Asia & Pacific,9599.414082,9867.865824,10466.42427,11324.00488,11494.09153,11483.59931,13037.46264,13037.46264
Europe & Central Asia (excluding high income),7485.826926,7070.965425,7889.016899,8008.257108,8136.751834,7435.160748,8708.063638,8708.063638
Europe & Central Asia,22624.91539,22455.14736,23704.3284,25297.67986,24914.60337,23981.02201,27114.27599,27114.27599
Ecuador,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,5627.77228,5934.875496,5934.875496
Egypt,3562.932658,3519.87324,2444.290387,2537.125185,3019.092283,3569.206841,3876.359594,3876.359594
Euro area,34388.28378,35163.47243,37154.48194,40059.18248,39195.77483,38012.66729,42307.72904,42307.72904
Eritrea,,,,,,,,0
Spain,25742.36883,26523.34822,28170.16786,30364.57994,29554.49052,27056.42175,30115.70589,30115.70589
Estonia,17402.03761,18295.34293,20437.76538,23063.56382,23397.87826,23054.35849,27280.65844,27280.65844
Ethiopia,640.5419231,717.1248698,768.5230154,771.5248663,855.7608852,936.4507576,943.9656842,943.9656842
European Union,30485.02881,31186.51062,33094.40835,35753.36685,35089.28279,34191.82825,38234.1346,38234.1346
Fragile and conflict affected situations,1913.692036,1762.810027,1825.738332,1826.833266,1905.700418,1743.367113,1826.396401,1826.396401
Finland,42801.90812,43814.02651,46412.13648,49988.91085,48628.64176,49160.83715,53982.61427,53982.61427
Fiji,5390.714207,5651.272721,6101.02389,6317.413723,6175.890653,5102.843929,5085.971642,5085.971642
France,36652.92231,37062.53357,38781.04949,41592.7959,40578.64429,39037.12263,43518.53851,43518.53851
Faroe Islands,53310.26201,58224.80551,61455.05261,65572.60753,67153.68194,66320.6792,,66320.6792
"Micronesia, Fed. Sts.",2906.617012,3014.700358,3289.642117,3568.291016,3624.249092,3542.969788,3476.650895,3476.650895
Gabon,7384.700704,6984.419712,7230.434912,7959.007267,7766.996554,6881.714225,8016.990495,8016.990495
United Kingdom of Great Britain and Northern Ireland,45404.56777,41499.5557,40857.75558,43646.95197,43070.49836,41098.07865,47334.35531,47334.35531
Georgia,4014.185944,4062.169888,4357.000936,4722.042423,4696.150586,4255.742993,5042.385528,5042.385528
Ghana,1774.074771,1971.956935,2074.290733,2260.860567,2246.625578,2254.153889,2445.290749,2445.290749
Gibraltar,,,,,,,,0
Guinea,769.2554754,732.2915119,855.5752706,955.1112811,1052.588091,1078.950006,1174.352972,1174.352972
"Gambia, The",660.7235712,690.7804932,679.7550717,732.7207273,772.5055883,757.4131116,835.5944214,835.5944214
Guinea-Bissau,603.3993815,661.4578387,738.5499449,802.7673851,749.453747,727.5201717,812.962373,812.962373
Equatorial Guinea,11283.39802,9250.316728,9667.856962,10005.61604,8380.741122,7198.335884,8462.28633,8462.28633
Greece,18083.87791,17923.96681,18582.08934,19756.99046,19133.75776,17647.23269,20276.54467,20276.54467
Grenada,9096.538652,9628.259169,10152.83281,10466.88221,10834.49568,9273.199292,9928.621733,9928.621733
Greenland,44536.40131,48181.87419,50766.59942,54545.29998,53256.24409,54570.37502,,54570.37502
Guatemala,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,4603.339643,5025.575573,5025.575573
Guam,35829.25036,36214.00692,36601.91988,36556.67491,38040.58699,34624.34013,,34624.34013
Guyana,5576.825852,5811.397924,6124.95367,6145.819277,6609.51128,6955.939217,9374.80457,9374.80457
High income,39847.26178,40475.17746,42118.2044,44571.43358,44774.77502,43282.42346,47886.78459,47886.78459
Hong Kong (S.A.R.),42431.88828,43733.91636,46160.42979,48537.56689,48356.0635,46100.97587,49660.63424,49660.63424
Honduras,2302.204411,2342.584904,2453.727115,2510.322943,2574.356751,2405.732848,2831.033021,2831.033021
Heavily indebted poor countries (HIPC),965.7695501,987.1093103,1065.40861,987.1739045,994.8982809,975.4742618,1057.919242,1057.919242
Croatia,11933.37738,12527.73986,13629.28959,15227.5601,15311.7669,14132.48656,17398.76598,17398.76598
Haiti,1386.854191,1290.380508,1369.063734,1479.345827,1312.770636,1272.367992,1814.674048,1814.674048
Hungary,12720.71202,13107.37791,14623.69665,16427.37276,16735.65978,16075.97327,18772.67329,18772.67329
IBRD only,5547.679602,5540.167966,6058.914633,6387.748819,6473.782551,6176.40377,7241.958363,7241.958363
IDA & IBRD total,4509.589868,4493.836521,4879.042932,5110.911271,5168.837517,4925.381242,5720.323923,5720.323923
IDA total,1342.999404,1342.913778,1372.988159,1369.260457,1399.11567,1365.047843,1456.412704,1456.412704
IDA blend,1972.147153,1861.940378,1787.801592,1835.321807,1852.219116,1740.603808,1857.422562,1857.422562
Indonesia,3331.695115,3562.816334,3837.578024,3893.859578,4135.233344,3870.55762,4291.812554,4291.812554
IDA only,1024.886105,1080.258622,1162.971829,1133.259641,1169.69953,1175.586605,1254.267846,1254.267846
Isle of Man,85126.97047,82197.12677,83477.83429,89112.66772,86481.55259,,,0
India,1605.605445,1732.554242,1980.66702,1998.259076,2072.244897,1933.101069,2277.434347,2277.434347
Not classified,,,,,,,,0
Ireland,62012.48493,62861.63912,69774.02897,79107.60499,80886.61574,85422.54287,99152.10257,99152.10257
"Iran, Islamic Republic of...",5200.680787,5755.802448,6032.065127,4046.341864,3514.042168,2756.749977,,2756.749977
Iraq,4688.318017,4550.658638,4985.452879,5915.850854,5943.458455,4583.747494,5048.387813,5048.387813
Iceland,52951.68151,61987.92636,72010.14903,74469.80406,68941.46223,59264.03409,68383.76534,68383.76534
Israel,35808.43643,37330.2618,40774.12961,42063.45313,43951.24773,44177.57122,51430.07968,51430.07968
Italy,30242.38614,30960.73151,32406.72032,34622.16967,33673.47545,31834.97262,35551.28499,35551.28499
Jamaica,4907.927415,4843.7499,5070.099503,5359.993789,5369.498371,4664.530242,4586.650509,4586.650509
Jordan,4164.108769,4175.356602,4231.51828,4308.151074,4405.487109,4282.765825,4405.839424,4405.839424
Japan,34960.63938,39375.47316,38834.05293,39727.1166,40458.00188,39918.16756,39285.16311,39285.16311
Kazakhstan,10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,9121.637138,10041.48984,10041.48984
Kenya,1464.554009,1525.235192,1633.491216,1794.091175,1909.304537,1872.124026,2006.83224,2006.83224
Kyrgyz Republic,1121.082835,1120.666513,1242.769643,1308.140165,1374.032105,1182.5217,1276.242643,1276.242643
Cambodia,1162.904995,1269.591499,1385.260066,1512.126989,1643.121389,1547.511388,1590.95666,1590.95666
Kiribati,1535.162783,1586.344978,1648.594957,1693.950155,1512.95277,1514.591059,,1514.591059
St. Kitts and Nevis,18717.42876,19542.16228,20382.77987,20567.25826,22047.88303,18440.85368,18230.13235,18230.13235
South Korea,28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,31597.50465,34757.72007,34757.72007
Kuwait,29869.55275,27653.15762,29759.46747,33399.06048,32373.25111,24811.76971,,24811.76971
Latin America & Caribbean (excluding high income),8203.003864,7885.57463,8699.475686,8357.124704,8165.360565,6765.532776,7727.161172,7727.161172
Lao PDR,2140.044323,2324.400917,2455.211559,2569.093892,2613.944427,2608.982833,2551.326081,2551.326081
Lebanon,7643.008718,7617.689634,7776.034642,8003.827612,7527.44306,3801.792743,2670.441956,2670.441956
Liberia,721.5810505,740.914906,721.085044,710.2659984,672.3404992,601.0630058,673.0890671,673.0890671
Libya,7590.442981,7687.882134,10205.32483,11482.13364,10218.04303,7614.325449,6018.445207,6018.445207
